Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
00140505,96.3,6.4,19.9,6.5,2015,0.6
01180005,95.9,7.2,25.6,5.7,2015,0.4
02440410,94.7,9.1,33.6,15.8,2015,0.3
02740510,68.0,48.7,93.3,85.3,2015,7.3
00440078,95.0,8.6,33.8,13.9,2015,1.1
02010505,85.5,23.0,71.4,53.9,2015,14.8
07530005,95.0,8.7,35.4,11.2,2015,0.0
03210505,96.0,7.1,24.7,4.8,2015,0.4
08250605,96.6,6.0,19.0,5.5,2015,1.1
00820006,95.8,7.2,25.4,7.0,2015,0.2
00350153,93.9,10.2,42.5,19.7,2015,1.6
03480050,94.6,8.6,36.2,17.4,2015,4.5
03480052,95.6,7.0,24.5,10.3,2015,2.7
02010405,92.7,12.3,43.5,24.9,2015,1.6
07350515,-,-,0.0,0.0,2015,0.0
08710605,96.9,5.6,17.3,5.2,2015,0.3
06450015,93.8,8.6,34.7,25.0,2015,0.0
02070320,96.2,6.7,24.4,6.7,2015,0.0
03480503,91.8,13.3,47.0,27.0,2015,4.6
02200010,96.2,6.6,21.5,7.4,2015,0.8
01640020,96.8,5.8,17.8,1.2,2015,0.0
00490035,95.2,8.3,33.5,11.5,2015,2.2
01000006,95.1,8.1,32.0,11.6,2015,0.0
06650001,95.0,8.5,32.2,9.8,2015,0.8
07670010,95.5,7.6,27.9,8.3,2015,3.7
00710032,96.2,6.6,23.4,5.0,2015,0.4
02190005,96.0,6.8,23.1,5.2,2015,0.3
03480285,96.9,5.5,18.4,4.9,2015,0.8
00090505,95.5,7.9,26.5,10.1,2015,1.0
02640505,93.7,10.8,36.6,14.1,2015,1.1
06650015,96.0,7.0,24.3,7.8,2015,0.7
00850005,95.2,8.1,36.1,8.8,2015,0.0
00100005,96.7,5.8,16.4,3.5,2015,0.3
01600020,94.9,8.8,31.4,13.9,2015,1.1
02130014,96.8,5.6,15.9,2.9,2015,0.0
01770305,95.8,7.4,21.5,5.5,2015,0.0
04500105,94.9,9.0,27.8,10.1,2015,1.7
03080065,95.4,7.9,30.3,10.2,2015,0.0
06750015,96.1,6.7,23.8,5.9,2015,0.0
01490053,94.0,9.7,39.4,18.5,2015,1.1
00730005,94.6,8.3,33.0,13.3,2015,-
07530515,90.8,16.2,45.7,31.4,2015,0.0
07730015,94.7,8.7,34.1,15.5,2015,0.0
07780010,95.7,7.6,30.5,5.9,2015,0.8
01450005,95.9,7.0,26.0,4.5,2015,0.7
00080020,95.6,7.5,28.3,10.3,2015,0.0
00080050,95.5,7.6,28.8,9.2,2015,0.0
02100025,95.9,7.2,23.8,6.7,2015,0.0
00790410,95.0,8.8,34.4,11.1,2015,0.0
00350096,98.3,3.0,7.2,2.5,2015,0.9
02390305,95.9,7.3,25.5,6.9,2015,0.2
01780020,96.2,6.6,21.6,6.6,2015,0.0
07350030,94.8,9.2,36.8,11.8,2015,0.0
02850015,96.2,6.8,24.0,2.3,2015,0.5
01310410,95.6,8.0,29.2,5.5,2015,0.0
00960020,94.8,8.9,37.3,11.6,2015,0.7
02660505,95.6,7.7,25.0,6.8,2015,0.8
03210025,95.5,7.4,26.4,10.8,2015,0.7
02810125,94.1,9.6,38.2,17.0,2015,5.1
07170020,95.7,7.8,33.3,5.6,2015,0.0
01280005,92.4,12.4,46.9,27.9,2015,-
02810080,94.3,9.3,37.6,16.4,2015,1.8
00350304,94.8,9.2,33.6,12.3,2015,0.5
00100505,93.4,11.7,42.0,15.4,2015,0.2
02110010,96.0,7.2,25.7,4.3,2015,0.0
06580005,96.5,6.1,18.5,3.6,2015,0.0
01490080,94.5,9.2,37.0,15.6,2015,1.2
04530005,95.5,7.7,28.8,9.8,2015,2.7
02100005,93.9,10.0,37.4,18.2,2015,0.0
02290010,95.3,8.0,29.3,12.0,2015,1.4
00350062,95.2,8.1,29.5,11.7,2015,0.4
03320005,94.4,9.3,37.5,16.7,2015,0.0
00790515,80.2,35.7,66.7,50.0,2015,0.0
00860305,95.6,7.7,27.2,8.9,2015,0.0
02930007,95.3,8.3,31.3,8.9,2015,0.3
02110020,96.0,6.9,23.7,7.8,2015,0.0
00010002,94.5,9.5,36.0,15.1,2015,0.0
00350430,93.6,11.0,44.7,20.5,2015,4.6
02620040,95.9,7.2,25.1,7.7,2015,0.0
02850505,93.3,11.7,46.8,21.7,2015,3.7
01370025,92.4,12.4,52.4,27.9,2015,3.6
02070120,96.3,6.5,23.9,4.5,2015,0.0
00440505,94.1,10.0,36.9,17.0,2015,4.4
07650035,94.8,9.2,38.0,12.6,2015,0.7
00200010,93.0,11.5,49.4,20.0,2015,0.4
01980505,95.1,8.5,26.8,10.7,2015,0.3
02480035,95.9,6.9,26.5,6.5,2015,0.0
04690505,95.3,8.3,29.6,11.5,2015,5.7
07350310,94.8,9.1,31.8,11.0,2015,0.0
00350156,94.5,9.4,37.8,14.9,2015,0.7
